,User,Tweets,Subjectivity,Polarity,Analysis
37,dinker_sukhdev,: Be witness to Agniveer revolution in Kashmir ... AgnipathScheme. These are  WomenOfKashmir with good KashmirWomen…,0.6000000000000001,0.7,Positive
38,IAmtouseefdar,": AgnipathScheme briefing in Kupwara...raise hands all those who have applied 4 Agniveer... all of them. Wow!
HowIsT…",1.0,0.125,Positive
39,Girdhar93159493,": AgnipathScheme briefing in Kupwara...raise hands all those who have applied 4 Agniveer... all of them. Wow!
HowIsT…",1.0,0.125,Positive
40,anshuku05442868,: Day 3 of Kargil Vijay Diwas _in : Team  reaches hills of Drass in remembrance of 1999 war heroes and the…,0.0,0.0,Neutral
41,khan528905602,: This is the Agniveer revolution in Kashmir ... AgnipathScheme. These are  WomenOfKashmir who are bold enough to spea…,0.5833333333333333,0.16666666666666666,Positive
42,LageRahoKashmir,"AgnipathScheme briefing in Kupwara...raise hands all those who have applied 4 Agniveer... all of them. Wow!
HowIsTheJosh. Highest in Kashmir Sir.

Thanks to     .

See  _India   ",0.6,0.1625,Positive
43,JaspalS84666673,: Recruitment Rally by ARO Srinagar being organised from 17 to 30 Sep 22. Apply online from 05 Jul 22 to 03 Aug 22. The…,0.0,0.0,Neutral
44,Saraswa91232996,: Day 3 of Kargil Vijay Diwas _in : Team  reaches hills of Drass in remembrance of 1999 war heroes and the…,0.0,0.0,Neutral
45,MohdAanis1,: Recruitment Rally by ARO Srinagar being organised from 17 to 30 Sep 22. Apply online from 05 Jul 22 to 03 Aug 22. The…,0.0,0.0,Neutral
46,Sandeep222105,: This is the Agniveer revolution in Kashmir ... AgnipathScheme. These are  WomenOfKashmir who are bold enough to spea…,0.5833333333333333,0.16666666666666666,Positive
47,Parihar0502,: Recruitment Rally by ARO Srinagar being organised from 17 to 30 Sep 22. Apply online from 05 Jul 22 to 03 Aug 22. The…,0.0,0.0,Neutral
48,Lakhsmisingh1,: Day 3 of Kargil Vijay Diwas _in : Team  reaches hills of Drass in remembrance of 1999 war heroes and the…,0.0,0.0,Neutral
49,HarishK90898560,_: Indeed many are meritorious among them but they all are so mean and selfish too. For their own sake they shielding scamste…,0.796875,0.071875,Positive
50,QaCRzejg9B0NngT,"_aisa: ""The scheme reduces the soldier’s job to that of an ad-hoc worker at one stroke...""  

Read the wonderful piece by _mu…",1.0,1.0,Positive
51,HarishS38657909,": ""Kashmir youth have an opportunity to join as Agniveer""
IndianArmy Recruitment Rally by ARO Srinagar being held from…",0.0,0.0,Neutral
52,Farojkhan9,: Be witness to Agniveer revolution in Kashmir ... AgnipathScheme. These are  WomenOfKashmir with good KashmirWomenPo…,0.6000000000000001,0.7,Positive
53,AnilKum70434243,: Be witness to Agniveer revolution in Kashmir ... AgnipathScheme. These are  WomenOfKashmir with good KashmirWomenPo…,0.6000000000000001,0.7,Positive
54,imabhishekbiswa,"India, i.e., ""Bharat"" stands &amp; welcomed AgniVeer &amp; AgnipaathScheme to young our soldier's. Then why not dismantle/retire, ""MiG 21's"" which is a 60+ yrs old machines.  ,  &amp; _MCC please consider this matter at the earliest as possible.
Thank you.",0.5333333333333333,0.06666666666666667,Positive
55,Vindanu3,: Recruitment Rally by ARO Srinagar being organised from 17 to 30 Sep 22. Apply online from 05 Jul 22 to 03 Aug 22. The…,0.0,0.0,Neutral
56,S_suhanigupta,: Day 3 of Kargil Vijay Diwas _in : Team  reaches hills of Drass in remembrance of 1999 war heroes and the…,0.0,0.0,Neutral
57,Suryaka55360855,"_7051_bi: I feel very proud to encourage NCC cadets to join Agniveer.Agniveer
_DG_NCC 
 
_O_NU_Odisha 
_…",1.0,1.0,Positive
58,bhss_simran,: Day 3 of Kargil Vijay Diwas _in : Team  reaches hills of Drass in remembrance of 1999 war heroes and the…,0.0,0.0,Neutral
59,ReyazKh27507277,: This is the Agniveer revolution in Kashmir ... AgnipathScheme. These are  WomenOfKashmir who are bold enough to spea…,0.5833333333333333,0.16666666666666666,Positive
60,ReyazKh27507277,: Be witness to Agniveer revolution in Kashmir .. AgnipathScheme.These are WomenOfKashmir with good KashmirWomenPower…,0.6000000000000001,0.7,Positive
61,ReyazKh27507277,: Be witness to Agniveer revolution in Kashmir ... AgnipathScheme. These are  WomenOfKashmir with good KashmirWomenPo…,0.6000000000000001,0.7,Positive
62,AjaySen05181009,": The last date of application for an ocean of opportunity is going to end soon. As the last date is 30th July,2022. 
Agniveer…",0.06666666666666667,0.0,Neutral
63,ReyazKh27507277,_ul_inkashmir: Be witness to Agniveer revolution in Kashmir ... AgnipathScheme. These are  WomenOfKashmir with good KashmirWomen…,0.6000000000000001,0.7,Positive
64,MahiPal11704913,_ul_inkashmir: Be witness to Agniveer revolution in Kashmir ... AgnipathScheme. These are  WomenOfKashmir with good KashmirWomen…,0.6000000000000001,0.7,Positive
65,MahiPal11704913,: Be witness to Agniveer revolution in Kashmir .. AgnipathScheme.These are WomenOfKashmir with good KashmirWomenPower…,0.6000000000000001,0.7,Positive
66,MahiPal11704913,: Be witness to Agniveer revolution in Kashmir ... AgnipathScheme. These are  WomenOfKashmir with good KashmirWomenPow…,0.6000000000000001,0.7,Positive
67,Amitkum96999621,: AgnipathScheme Recruitment Rally by ARO Srinagar being organised from 17 to 30 Sep 22. Apply online from 05 Jul 22 to…,0.0,0.0,Neutral
68,SushilK77607994,_hit05: Be witness to Agniveer revolution in Kashmir ... AgnipathScheme. These are  WomenOfKashmir with good KashmirWomenPower.…,0.6000000000000001,0.7,Positive
69,RajuBan61426832,: This is the Agniveer revolution in Kashmir ... AgnipathScheme. These are  WomenOfKashmir who are bold enough to spea…,0.5833333333333333,0.16666666666666666,Positive
70,RajuBan61426832,: Be witness to Agniveer revolution in Kashmir ... AgnipathScheme. These are  WomenOfKashmir with good KashmirWomenPo…,0.6000000000000001,0.7,Positive
71,ReyazKh27507277,_hit05: Be witness to Agniveer revolution in Kashmir ... AgnipathScheme. These are  WomenOfKashmir with good KashmirWomenPower.…,0.6000000000000001,0.7,Positive
72,Jitende21434999,: Recruitment Rally by ARO Srinagar being organised from 17 to 30 Sep 22. Apply online from 05 Jul 22 to 03 Aug 22. The…,0.0,0.0,Neutral
73,MahiPal11704913,: Be witness to Agniveer revolution in Kashmir ... AgnipathScheme. These are  WomenOfKashmir with good KashmirWomenPo…,0.6000000000000001,0.7,Positive
74,MahiPal11704913,: This is the Agniveer revolution in Kashmir ... AgnipathScheme. These are  WomenOfKashmir who are bold enough to spea…,0.5833333333333333,0.16666666666666666,Positive
75,MahiPal11704913,_hit05: Be witness to Agniveer revolution in Kashmir ... AgnipathScheme. These are  WomenOfKashmir with good KashmirWomenPower.…,0.6000000000000001,0.7,Positive
76,bhss_nisha,: Day 3 of Kargil Vijay Diwas _in : Team  reaches hills of Drass in remembrance of 1999 war heroes and the…,0.0,0.0,Neutral
77,ABHISHE23580135,: Recruitment Rally by ARO Srinagar being organised from 17 to 30 Sep 22. Apply online from 05 Jul 22 to 03 Aug 22. The…,0.0,0.0,Neutral
78,AkhterM72248579,: Be witness to Agniveer revolution in Kashmir ... AgnipathScheme. These are  WomenOfKashmir with good KashmirWomenPowe…,0.6000000000000001,0.7,Positive
79,arunraj8s,: Day 3 of Kargil Vijay Diwas _in : Team  reaches hills of Drass in remembrance of 1999 war heroes and the…,0.0,0.0,Neutral
80,AkhterM72248579,: Recruitment Rally by ARO Srinagar being organised from 17 to 30 Sep 22. Apply online from 05 Jul 22 to 03 Aug 22. The…,0.0,0.0,Neutral
81,BaijuKu38173479,": Be witness to Agniveer revolution in Kashmir as part AgnipathScheme. This is KashmirWomenPower
HowIsTheJosh? Defi…",0.0,0.0,Neutral
